Name,Rating,Date,Review
Rudiansyah,5/5,10 bulan lalu di,"Secara keseluruhan baik itu kamar, layanan dan lokasi memuaskan. Rekomended hotel"
Andhika Tri Saputra,4/5,2 tahun lalu di,"Kamar mandi nya mungkin bisa lebih di perhatiin, kotor coklat"" gitu, tempat sabun nya juga pas pencet ada hitam"" di pencetan pertama, juga untuk memperhatikan isi tissue di kamar masa habis, shampo nya juga habis tp gak di isi ulang pas make over kamar, semoga kedepan nya bisa lebih baik."
ika apriandini,4/5,2 tahun lalu di,"Pelayanan ramah, kamar bersih, sarapannya g banyak pilihan menu tp enak kok, kolam renang bersih,lumayan untuk hiburan anak2.. Hanya saja selimut sama seprei yg terlihat sudah lama.."
mata tari,3/5,setahun lalu di,"Parkiran terlalu curam..
Jalan samping kolam renang dipakai meja makan jadi sempit..klo turun pinggir kolam rentan kepleset karena licin kena air kolam."
Juhn Liem,1/5,setahun lalu di,"Hotel bintang 3 tapi ac kamar gak dingin, padahal sudah suhu terendah 16 °C blower full, kalah sama hotel bintang 2 ... sudah lapor reception tapi solusinya hanya dikasi kunci kartu ganjel power utk listrik kamar spy kalo bepergian ac tetep …"
Rizky Fatmawati,3/5,2 tahun lalu di,"Staff saat check in tidak ramah. Juga saat saya masih berada di dalam kamar, staff tiba tiba masuk tanpa mengetuk pintu terlebih dahulu. Tolong ya attitude dan SOP nya diperbaiki lg. Saya juga seorang hotelier. SOP ketika ingin mengecek …"
Fransisca Betty Dwiningsih,4/5,2 tahun lalu di,"Begitu masuk suasananya homy dan cosy banget, sayangnya resepsionisnya ya...gitu dech seperti tidak ada apa-apa. …"
galih siregar,5/5,3 tahun lalu di,"Honest review fasilitas sebenarnya sudah sesuai dgn harga yg terjangkau. Property jg well maintained. Sayang guest supply & amenities aga kurang misalnya ga ada room slipper, ga ada coffee/tea tp ada water heater, ga ada bath mat di …"
johanna sarah,3/5,setahun lalu di,"Cocok utk transit. Stay waktu musim mudik, kolam renang lg under maintenance. Stafnya ramah & membantu 👍🏼 …"
Ufi Hudan Pratama,5/5,setahun lalu di,"Salah satu rekomendasi hotel yg nyaman ditengah ramainya kota jogja.
Nyaman, servis pelayanan bagus."
R _setiawan_,4/5,2 tahun lalu di,"Hotel bintang 3 dekat dgn Masjid Jogokariyan Yogyakarta yg fenomenal, utk tamu yg akan berkunjung ke Masjid Jogokariyan tinggal jalan kaki saja sekitar 3 menitan. Kebersihan oke.. kamar dibersihkan & dirapihkan setiap hari, petugas ramah2 …"
Tri Puji Pangesti,4/5,2 tahun lalu di,"Viewnya bagus... tempatnya bersih.. hanya saja...
1. Parkir berbahaya hanya satu pintu tanpa security atau tukang parkir, riskan bertabrak. …"
Diah Ayu,4/5,2 tahun lalu di,"Comfort room, clean, polite service, avail hair dryer, hot water, and chiller (but the chiller isn't cool enough). Tapi 1 yg mengecewakan, waktu check in avail start from 1pm tapi kami datang jam 3pm kamar kami blm ready, kami menunggu 1 …"
Ini Resa,4/5,3 tahun lalu di,"Parkir nya luas, lokasi mudah ditemukan. Hotelnya untuk kamarnya juga bagus dengan harga segitu. Pelayanan nya juga bagus. Namun, saran saja untuk kedepannya utk semua tipe kamar dg harga berapapun, sayangnya peralatan dikamar mandinya jadi …"
Yakimu belle,5/5,8 bulan lalu di,"Staycation lagi untuk 2 hari. Kali ini seneng banget dapet hotel dengan kolam renang yg real 1,4m/1,5 kalo ga salah. Yang udah2 hanya sekitar 1,2m aja. Untuk kamar bisa milih sesuai keinginan kita. Asalkan stok kamar masih ada ya,hehe. Kita …"
Utrie Yunita,1/5,2 tahun lalu di,"Kamar mandi kotor. Dinding kotor. Di dalam kamar mandi tidak ada ammenities, telepon ke resepsionis responnya 30 menit tapi tidak diberikan yang diminta.  Kamar mandi kunci rusak dan kekunci dari luar. Not recomended."
bambang kristiyanto,4/5,4 tahun lalu di,"Awalnya memilih hotel ini karena dekat dengan Masjid Jogokariyan. Ternyata tidak hanya dekat dengan masjid Jogokariyan, akan tetapi juga dekat dengan pusat perbelanjaan Superindo, dekat dengan ATM dan SPBU, dan beberapa makanan rumahan yang …"
Herdy Trainer Origami,5/5,2 tahun lalu di,Tempatnya bagus. Nyaman. Tersedia ruangan untuk kegiatan seminar dan pelatihan. Fasilitas cukup lengkap.  Pelayanan baik. Ramah. Ada kolam renang. Bisa mengajak keluarga untuk refreshing. …
Fredy Rasyid,5/5,2 tahun lalu di,"Hotel santai yang terletak di bangunan modern dengan aksen desain Indonesia klasik ini berjarak 3 km dari Keraton Ngayogyakarta Hadiningrat, istana abad ke-18, dan bekas situs taman kerajaan Taman Sari. …"
Adin Khairudin,5/5,setahun lalu di,"Kamarnya bersih, air panas ada, kolam renang ada, sarapan pagi juga banyak tersedia makanan"
Anugerah Yoga,5/5,2 tahun lalu di,"Hotel yang nyaman. Baik untuk menginap, pertemuan besar maupun kecil, dan keperluan lain-lain. Lobi, restoran, tempat pertemuan mengelilingi kolam renang sehingga kesan santai terasa. Kamar-kamarpun berada di lantai 2 ke atas dan berposisi …"
ISNARTOMO SETIAWAN,5/5,8 bulan lalu di,Hotel yang nyaman untuk menginap kamar bersih dan nyaman dengan pelayanan yang sangat ramah...
Dedek Irna,3/5,setahun lalu di,Pelayanan kamar ny pas kemaren dtg pesen 5 kamar semuanya blm siap handuk. Ditelpon ke operator hotel ktnya baru mau diambil di laundry dan baru dksh sorean n kamar saya malam baru dpt. Smoga lbh baik pelayanan ny.
Latoya Mineral Water,5/5,4 bulan lalu di,"Nyaman, tenang, staf ramah 👍 …"
Irwansyah C Nugraha,3/5,4 tahun lalu di,Kamar tidurnya cukup untuk berdua. Kamarnya nyaman. Kamar mandi air hangatnya berjalan baik. Sayangnya persediaan sarapan akan cepat habis jika sedang ramai. Dan waktu pengisian ulang makanan akan sedikit memakan waktu (lama). Untuk rasa …
Rinduri Darnantri,4/5,3 tahun lalu di,"Untuk kualitas sudah sesuai dengan harga, disediakan mesin pemanas air untuk buat teh tapi tidak disediakan teh atau coffee :( hanya ada gelas doang sama air mineral. Apakah emg gaada apa gimna gangerti juga. Untuk makanan di restonya enak"
monita deka,4/5,3 tahun lalu di,"Terdiri atas 5 lantai,  dengan basement sebagai parkiran,  lantai 1 lobby,  tempat makan,  kolam renang,  lantai 2 ada ruangan untuk mengadakan seminar atau sebagai auditorium,  lantai 3 untuk kamar,  lantai 4 untuk kamar bebas merokok. …"
Aditya Herdian Yudhatama,4/5,setahun lalu di,"Kamarnya oke, bersih, pelayanan mantap. Tapi kamar masih bocor dari suara luar yang jelas."
nandang kusnandang,4/5,5 bulan lalu di,Masih cukup berkeringat buat jalan ke marioboro
Angga diyo,5/5,2 tahun lalu di,"Hotel nya sih bersih nyaman tempat nya jg bagus swiming pool jg bersih, menu makanan nya jg relatif enak pelayan nya jg baik ramah tp sayang AC kmar di no 416 tdk dingin sama skali huhuhuhu"
Fina Zakiyah,4/5,3 tahun lalu di,"tempat enak, namun ada beberapa fasilitas kamar yang kurang seperti ac kurang dingin, untuk perlatan minum tidak sediakan sendok untuk buat teh atau kopi, korden sobek. tolong lebih diperhatikan untuk fasilitas kamarnya."
Atus Syakiroh,5/5,setahun lalu di,Cukup memuaskan dengan lokasi yang dekat dengan masjid jogokaryan.. Kamar nyaman dan area outdoor yang juga cukup menyenangkan
Sabrina Umi Khabibah,3/5,4 tahun lalu di,"Hotelnya bersih, sejuk dan harumnya khas aromaterapi.
Lahan parkir tidak terlalu luas, makanan rasanya standar, pelayanan ramah dan membantu. …"
Putri Oktavianty,4/5,4 tahun lalu di,Makanan lauknya waktu saya menginap tidak begitu banyak. Rasa mienya standart aja tapi ikannya lumayan enak. Ada bubur ayam dan ada sop sayur utk sopnya kurang berasa kuahnya hanya ada rasa sayur. Tapi dessertnya ENAKKK dan bakwannya walaupun isinya cuma kol tapi enakkk overall 8/10 utk makanan di hotel ini :)
Dee Novila,5/5,3 tahun lalu di,"Hotel Lynn By Horison Yogya💕
Hi D'Travelers, mau riview dikit nih^^
Jadi kemarin pas Trapelokah ada big sale , dapat harga yang OMG murmer utk hotel …"
Hadriani Putri,5/5,4 tahun lalu di,"Pertama kalinya ke Yogyakarta dan menginap di Lynn Hotel, menurut saya hotel ini sangat bagus. Lokasi hotel strategis, tempat wisata, hiburan dan tempat bersejarah jaraknya dapat dijangkau dari hotel ini. …"
Reza Akbar,5/5,2 tahun lalu di,"Konsep Halal Bi Halal yang hemat dan seru bersama Lynn Hotel. Dengan harga makanan All u Can Eat yang terjangkau, kita bisa mendapatkan makanan yang mewah dan lengkap di tepi kolam renang. Sangat cocok untuk anak-anak yang ingin berenang dan Orangtua yang bercengkrama bersama di tepi kolam"
O C I D,4/5,2 tahun lalu di,"Pelayanannya ramah, kamar yg ditempati juga nyaman, fasilitas lengkap. Ada poolnya walaupun ramai pengunjung tp okelah. Dapat harga promo yang cukup terjangkau untuk hotel sekelas ini. Thank you 👍🏽 …"
Bagas Radikananto,2/5,setahun lalu di,"Maaf kurang memuaskan

Ac tidak dingin. …"
Aprilia Gita Savitri,5/5,5 tahun lalu di,"Pengalaman menginap yang sangat menyenangkan. Fasilitas kamar dan pelayanan yang sangat memuaskan. Kamar tertata rapi, bersih gak lembab, wangi. Toiletnya juga bersih. Pelayanan sangat ramah dan cepat tanggap. Toiletries tersedia lengkap. …"
Nurman Syah,4/5,setahun lalu di,"Secara keseluruhan sih udah bagus, cuma sarapan nasi goreng dan mie nya dingin, jadi nikmat nya berkurang, pdhl rasanya udah pas. Dan itu masih jam 7 pagi lho"
muh dian perdana,5/5,setahun lalu di,"Kamarnya standard hotel lah seperti biasanya. Layanannya oke, pegawainya ramah.
Lokasi cukup strategis, 15 menit dari Malioboro.
Jangan lupa mampir di Masjid Jogokariyan."
Ainul Mardhiah,5/5,5 tahun lalu di,Saya di kamar 412 dengan harga 250 pesan lewat agoda dapat kamar yang nyaman dan bersih. …
herry suprianto,3/5,3 tahun lalu di,"Kamar lumayan, hanya sarung bantal nya kekecilan (bantal keluar), lantai kmr mandi air menggenang.. Lainnya/Kebersihan/kolam renang/pelayanan...ok."
Eko Kus Prasetyo,5/5,setahun lalu di,"Saya menginap dg kluarga, anak2 senang sekali dg pngalaman berenang, sarapan cukup variatif. Lokasi jg nudah dijangkau."
M Febi Trihandoko (OmSweby),5/5,10 bulan lalu di,Makanan nya doang yg monoton setelah beberapa hari menginap disini
Muhammad Hanif Ibrahim,5/5,3 bulan lalu di,Ada kolam renangnya
Dian Agung,4/5,3 tahun lalu di,"Tempat tidur nyaman. Pencahayaan kamar tidak memiliki lampu utama yang terang, nyaman untuk tidur tetapi tidak untuk mengerjakan tugas. Wifi masih oke untuk streaming video tetapi putus putus sewaktu dipakai voice call. Jika anda tipe yang suka nonton tv di kamar, sayangnya hanya tersedia siaran nasional, itupun jumlahnya masih terbatas"
aks “라라” rara,5/5,setahun lalu di,"ke sini buat bukber, harga bersahabat, menu nya juga variasi sesuai budget nya, dan rasanya enak-enak, ruangannya bersih, pelayanan oke"
Setya Wardana,5/5,5 tahun lalu di,"Pas kesini cuma buat menghadiri acara yg diadain sama tempat kerja, jd belum tahu pasti tentang fasilitas kamar dan suasana menginap. Waktu itu pake conference room yg berseberangan langsung dg swimming pool. Room nya minimalis sih dg …"
untung sugiarto,3/5,2 tahun lalu di,"Sy Dateng jam 12 siang niat y mau liaht kmry dlu,tp kmr LG d bersihin dan Bru bisa chek in jam 2,jd sy balik pas jam 2,pas sy mau masuk d DPN kamar ada piring,magkok kotor beks tpi seblmnya dan waktu lihat kmaar ya 🥲 haduh gelap …"
si jelo michaelangelo,4/5,6 tahun lalu di,"Tempatnya lumayan, kolam renang ada ditengah2 hotel, menyenangkan. Tempatnya bukan dipinggir jalan besar (jln parang tritis)  tapi mudah diakses. Parkir mobil ada di basement tapi gak banyak sekitar 10 mobil, sisanya didepan hotel dan terbuka, kalau hujan??? Kamarnya gak luas luas amat tetapi lumayanlah. Air panas nya enak."
Hafidz Prasetya,5/5,2 tahun lalu di,LYNN Hotel by Horison truly chain by MGM. Located in attractive destination of Jogjakarta. The hotel is characterized by its own regional Javanese culture and the special local Javanese characteristic of service. Its only takes about 15 …
Winta Dewi Yudhantari,3/5,3 tahun lalu di,"Harga publish superior 200 ribu per night. Tapi dlm kamar ga dapat kopi teh gula, ga dikasih tissue kecuali tissue toilet. Pesan 2 kamar buat 4 orang dikasih sendal cuma sepasang per kamar. Ada kolam renang. Di depannya ada warung makan. Sebelahnya pom bensin. Lumayan kalo cuma buat istirahat sebentar"
aa hhh,3/5,4 tahun lalu di,"Untuk bintang 3 sih ini standartnya agak kurang ya. Order lebih dari 20 kamar ada yang dapet air mineral qda yang nggak dapet, sarapannya standart buffe kurang oke hanya nasi mie oseng buncis dan ikan mangut. Pilihan juga ng banyak hanya …"
Alvi Rachman,5/5,2 tahun lalu di,"Bagi para pelancong atau turis yang ingin mendapatkan hotel dengan tempat yang strategis, lynn hotel yogya adalah jawabannya karena didekat hotel itu sendiri ada superindo yang hanya bisa dijangkau dengan jalan kaki, disamping hotel …"
Someone Hehe,4/5,3 bulan lalu di,Minus tv nya doang
Bakoel Palugada,3/5,3 tahun lalu di,"Kamarnya bersih, lumayan besar, dapat view kolam renang, tapi sayang klosetnya menghadap ke kiblat, jadi semalam aja nginepnya, besoknya pindah hotel"
Yana Roester,3/5,3 tahun lalu di,untuk kebersihan kamar mandi di room 410 itu gak bagus kotor . di room 410 gak ada kopi teh dan gula . gak ada sendok kecil juga . cuma adanya pemanas airnya saja dan free air mineral  . tissue di ruangan gak ada . jadi harus pake tisue toilet . untuk proses check in dan check out sangat bagus cepat . parkiran luas .
Sugeng Budiharsono,5/5,4 tahun lalu di,"Lynn Hotel by Horison terletak di sebelah selatan pusat kota ( Malioboro dan Keraton Yogyakarta). Terletak di Jalan Jogokaryan dan berada sekitar 200 meter dari Masjid Jogokaryan yang terkenal di Indobesia, sebagai masjid yang tidak terlalu …"
Mama Nur,1/5,4 tahun lalu di,"Saya pastikan ini terakhir kali saya menginap disini. Pelayanan sangat buruk. Datang ke hotel pkl 14.30, disuruh nunggu alesan spv ngecek kamar dan itu selama 30menit. Belum masuk kamar, ada banyak rombongan bus datang. Feeling udah gak …"
Brian Damara,4/5,7 bulan lalu di,"Nice , bersih ,pelayanan good
Jauh dari kmacetan kota ."
Rara jalan jalan,2/5,setahun lalu di,Saat saya study tour saya menginap di Lyn hotel dan saat itu ada kond*m di closet kamar teman saya dan di kamar saya ada kecoa kecil 2
Yusuf Wahyudi,5/5,11 bulan lalu di,"Nginep disini waktu bulan puasa 2023, seru nya ya bisa cari takjil di kampung ramadhan sepanjang jalan ya."
149_ Gede Prananda,4/5,setahun lalu di,untuk kamar nya sprei dan selimut terlihat kotor dan banyak sobekan tapi untuk breakfast lunch nya rasanya enakkk bangett
Desy,4/5,5 tahun lalu di,"Overall pelayanan serta kamarnya oke. Hanya saja wifi di kamar sangat lambat sehingga kami tidak menggunakan wifi. Kalau tidak untuk perjalanan bisnis menurut saya tidak terlalu mengganggu, tapi jika untuk keperluan bisnis kelancaran wifi …"
vani sfd,4/5,2 tahun lalu di,Bukber dsni murah. Menunya ya ssuai lah. Tp rasa lumayan. Pelayanan bagus ramah2. Mushola panas.loby puanas.. ga tau knp gini ya.. lokasi area macet tp strategiss..
Priss Ayun,5/5,4 tahun lalu di,"Kebetulan ke sini buat prenatal yoga,  ruangan yang digunakan luas,  nyaman banget buat yoga,  cukup luas dan nggak sempit jadi masih leluasa buat yoga.  Untuk parkirannya cukup sempit,  liftnya oke,  fasikitas seperti mushola juga bagus, …"
Imam Machfut,4/5,3 tahun lalu di,"Lumayan sih mnurut saya hotel LYnn ini,cuma sedikit heran aja waktu pertama masuk kamar minuman yg di sediakan cuma air mineral,kgk ada yg namanya tea sachet or coffe or sugar😁 …"
Kiki Widyaningsih,2/5,4 tahun lalu di,"Kami menginap disini hanya keluarga kecil. Kebetulan berbarengan dg rombongan bis. Kami masuk jam 12 tengah malam.
-Diberikan kamar dipojok,yg sepertinya tdk dipelihara kebersihannya. …"
campus channel,5/5,3 tahun lalu di,"Pada saat ke sini dapat promo dari tiket, jadi mungkin harga pada saat saya ke sana dan skrng beda. Untuk pasilitas nya bagus, karyawan hotel nya ramah semua pada saat berpapasan mareka sopan. Dan ada kolam renang buat pengunjung hotel."
Atiwa Mandiri,2/5,2 tahun lalu di,"Kamar mandinya kotor, didalam kamar didalam tissue di kasurnya juga tidak ada guling, lorong depan kamar juga tidak ada karpet jadi kalau ada orang lewat berisik.."
muhammad makmun,4/5,4 tahun lalu di,"Dekat masjid Jogokaryan (alasan menginap disini). Staff ramah, kamar bersih, toilet lumayan bersih, ga ada sikat gigi & odol. wellcome drink ga ada kopinya, hanya teh, gula putih, brown sugar, creamer. Handuk nya harus segera di ganti karena sudah tidak layak. Makanan lumayan sekedar untuk sarapan."
Bernadetha Ajeng Tresnaningsih,5/5,2 tahun lalu di,"Mba resepsionis nya ramah, check in cepet, parkiran luas ada basement, kamar cukup nyaman, teh kopi air mineral ada, sandal ada, sabun sampo sikat gigi ada, handuk sprei lumayan bersih, kolam renang bersih,, terima kasih pelayanannya lynn hotel"
Simade Channel,5/5,3 tahun lalu di,"LYNN Hotel adalah sebuah pilihan yang sempurna untuk menginap yang membuat anda merasa nyaman untuk tinggal karena letaknya di kota Yogyakarta yang merupakan jantung pariwisata, pusat belanja, hiburan dan tempat wisata kuliner dan …"
Anindita amrina rasyada,4/5,5 tahun lalu di,"Lokasi cukup strategis, dekat dengan mesjid jogokariyan, dan alun-alun selatan, di sebelahnya ada atm BRI ada spbu juga. Kalau malam banyak yg jualan di luar hotel, memudahkan bagi yang ingin mencari makan. Parkiran luas, ruang tunggu juga luas, seperti hotel mewah, kamar bersih dan ada kolam renang."
christian santoso,5/5,8 bulan lalu di,Mungkin menu break fast kurang menarik terutama untuk anak2
Abdi Nurdiansyah,1/5,4 tahun lalu di,"Handuk nya lebih parah daripada keset, robek nya bisa dilihat di gambar. Staff room service sangat tidak sopan atau kurang ajar, keset di kamar belum diberikan tapi staff tidak percaya dan memaksa mengecek masuk kamar mandi padahal sudah dikatakan ada orang tua saya sedang mandi tapi tetap masuk. Sangat kurang ajar sekali."
anisa ayu,5/5,3 tahun lalu di,"Tempatnya strategis, interior nya bagus, bangunannya keren sih menurutku... pelayanannya ya lumayan lah... Cuman pas kemarin nginep disana, dapet kamar lumayan agak belakang, jadi kerasa sepi banget, kayak satu lantai itu cuman aku yg pake... Tp untuk keseluruhan oke"
Muhammad Ridho,4/5,5 tahun lalu di,"Sebenarnya hampir tidak ada yang bisa saya keluhkan dari pengalaman menginap di LYNN Hotel Yogyakarta by Horison. Staf yang sigap, ramah, dan hangat menjadi kesan yang paling melekat. Dua malam di sini rasanya sudah seperti di keluarga …"
Kokoh Handoko,4/5,4 tahun lalu di,Hotelnya nyaman dan bersih walaupun memang tampilan agak tua. Stafnya ramah dan sangat membantu. Namun ada sedikit kekurangan yaitu jaringan TVnya kurang jernih dan menu sarapan nya boleh dikatakan biasa saja untuk hotel berbintang. Selain itu sudah baik. Nice...
Sigit Mirawan,3/5,4 tahun lalu di,"Harga tergolong mahal dibanding apa yg kita dapatkan, tp ada kolam renangnya dan gym. Kebersihan dan pelayanan bagus. Sayangnya begitu masuk kamar, pengharum ruangan terlalu keras aromanya, jadi sesak dan pedih di mata, apalagi jendela tidak dapat dibuka, jadi harus buka pintu dan ngipas² angin keluar pakai bantal."
anieta saktie,4/5,2 tahun lalu di,"Di sini cuma numpat rapat aja, ruang rapat nyama, AC adem, fasilitas oke .. ada air putih, permen, kertas, pensil .. proyektor .. Toilet juga bersih. Ada kolam renang. Untuk menu makanan belum lihat beragam menu, tetapi untuk menu kemarin, menurut saya rasa kurang nendang."
Dendy Aqila agata,4/5,4 tahun lalu di,"Hotel ini sudah termasuk kategori hotel yang cukup nyaman, lokasi yang strategis, dekat dengan pusat perbelanjaan, pengisian bbm dan tempat ibadah umat muslim,
Dari luar memang hotel ini terlihat seperti hotel- hotel lainnya, tetapi saat …"
Fandhy Aria Perdana,4/5,6 tahun lalu di,"Unuk lokasi dekat dengan Jalan Prawirotaman yang terkenal dengan daerah yang banyak terdapat turis-turing asing dan juga kehidupan malam. Untuk Kamar saya mengambil tipe Deluxe yang memiliki ukuran cukup besar, bersih dan nyaman, namun …"
Prawestri Rahayu,5/5,5 tahun lalu di,"Sangat puas dengan pelayanan dan fasilitas hotel. Di dalam kamar terdapat loker dan kulkas. Di kamar mandi terdapat hair dryer. Kasurnya empuk, sepreinya wangi. Ada kolam renangnya jg. Pesan lewat traveloka tgl 30 juli cuma 275.000 (tidak …"
The dare Devil,1/5,3 tahun lalu di,"Kamar kecil, ga cocok untuk tempat menginap keluarga, acnya payah, 16 derajat tapi tidak dingin, sudah minta tolong di cek tetapi teknisi ga dateng dateng, lokasi tidak strategis, tidak ada mesin pembuat kopi, hanya diberikan mineral water,"
Thony Fathony,3/5,2 tahun lalu di,"Lumayan lah ...hanya ada kekurangan menurut saya
- AC ngak dingin
- Kamar penerangan kurang terang jika dibuat bekerja kurang nyaman
- Staaf kurang ramah"
Reifito Akmal,5/5,3 tahun lalu di,"tempatnya bagus nyaman bersih juga,menu nya bervariasi,mempunyai tempat parkir,menu makanan setiap harinya bervariasi,kamar hotel nyaman,toilet bersih ,pelayanan nya sangat baik,mempunyai kolam renang dan ruang meeting"
Yani,4/5,4 tahun lalu di,"Kamarnya lumayan bagus. Sayangnya pas dikamarku, per-kasur nya sdh agak kendor jd mentul2 😁😁. Tidur disini tgl 9-10 nov 19 bersama rombongan satu bus. Pelayanan nya baik dan cepat. …"
Nonie Elisabeth,1/5,2 tahun lalu di,Dalam pelayanan staff kurang baik untuk yang sekarang.  Kurang sopan. Dan tidak profesional. Ketus dan tidak ramah .sangat disayangkan hotel nya trjngkau fasilitas ada tp kinerja staff kurang mendukung dalam segi pelayanan ke konsumen
della giauw,2/5,2 tahun lalu di,"Kamar terlalu kecil, booking room non smoking, ktanya sdh full jd dikasi yg smoking begitu masuk bau rokoknya parah banget n pengap sekali, suami lngsung complain hrs ganti kmar krn ada anak kecil eh ternyata malah bisa ganti ke kmr yg non …"
S P,4/5,5 tahun lalu di,"Bangunan baru. Lobby cukup besar, dilengkapi kolam renang. Parkir cukup luas ada basement dan parkir lobby. Pelayanan ramah. Ukuran kamar tidak terlalu sempit. Fasilitas lingkungan sekitar cukup lengkap tersedia spbu, superindo, dan masjid berjarak sekitar 100 m."
Uen,5/5,5 tahun lalu di,"Service oke,  kamar bersih,  kamar mandi ada sekat nya jadi air ga bleberean kemana2. Air shower lancar banget.  Sukak.  Sarapannya macem2. Cuma apes nya bareng rombongan norak teriak2 tengah malam,  pencet2 bel kamar orang ga jelas.  Mungkin mereka datang dari planet lain."
Suseno mahardiko,2/5,2 tahun lalu di,"Buffet sarapan terbatas, prasmanan tapi dilayani dan dibatasi pengambilannya, makanan super standar, buah cuma ada satu melon itupun dikerubungi lalat buah, I am okay with it, but only for 1 star hotel, please fix it, I love you …"
Culinary Hunter,5/5,5 tahun lalu di,"Nyaman.. kamarnya luas, kebersihan terjaga.. sangatlah worth it dengan harganya 👍 pelayanannya sangatlah ramah.. terkesan juga dengan pelayanannya yg excellent, makanan lumayan enak.. harga2 makanan standardlah.., krna porsi memang besar. …"
Indra Ari Mujiono,4/5,5 tahun lalu di,"Staf ramah, bangunan sedikit aga tua klo di kamar nya, makanan standar, kamar nya saling menghadap udah kaya di rumah susun, buka jendela sedikit keliatan sama tamu yg lain, jd agak kurang privasi aja si. Dan kolam renang nya di tengah bangunan, jd ya klo renang siap2 aja di tonton dari sudut kamar"
Dwi Setiawan,2/5,setahun lalu di,"Baru datang, langsung sering bersin (mungkin ruangan rada berdebu), menu breakfast biasa aja: bihun rada apek, nasi goreng biasa aja, dan pilihan sedikit."
danish1289,5/5,4 tahun lalu di,"Suami bikin surprise utk anniversary kami dan staf disini responnya sngt baik, very helpful. Mrk dekor kamar km dg spesial, dan bsknya smua staf bserta manager nya nganterin cake utk kami. What a surprise!! Thanks Lynn hotel, this is the best wedding anniversary moment ever!"
Toto Widjodjono,5/5,9 bulan lalu di,"Tempatnya nyaman, ngopi santai okey, layanan ramah full senyum.."
Ariestu Satyawangsa,4/5,6 tahun lalu di,"Skala 1-4
Kebersihan 3 (pernah nemukan yg lebih bersih)
Breakfast 2 (kurang variasi) …"
R.E Pratama,5/5,6 tahun lalu di,"Pelayanannya sangat memuaskan. Karyawan ny ramah. Kamarnya bagus, saya dapat view kolam renang, fasilitas kamar ny lumayan lengkap. Untuk menu lumayan enak. Untuk minus ny mungkin di lift aja, pas saya kesana cuman berfungsi satu lift."
Swastiko38,4/5,2 tahun lalu di,"Menyenangkan menginap di Lynn, kamar juga bersih dan kolam renang yg biru bening. Hanya saja untuk hotel sekelas Lynn horizon kamarnya banyak semutnya :D selain itu its oke"
Veldan Rizkian Skyler,1/5,setahun lalu di,"hotelnya gak jelas nih, orang mau cek in di suruh batalin

kan kita mau istirahat udah bayar dari tiket.com malang suruh pergi coba …"
nugroho arief,5/5,3 tahun lalu di,"Dengan harga 150rb... Ok banget lah... Kebetulan dpt lantai 5 jadi AC nya agak lama dingin, kasur cukup luas kolam renang bersih."
Agung Krisnayana,5/5,5 tahun lalu di,"Datang dengan rombongan kunjungan industri disuguhkan wedang jahe. Pihak administrasi hotel tahu jika rombongan dikelompokkan menjadi 3 orang 1 kamar, sehingga disediakan 1 kasur lagi di dalam kamar hotel. Kamarnya bagus dan bersih terutama kamar mandinya. Plus juga buat makanan yang disajikan di hotel ini."
Ahmad Gimmy,4/5,4 tahun lalu di,"AC agak lambat dingin, makanan rasanya biasa saja, tapi cukup bersih. Tidak semua staf gemar menyapa, bahkan ada 1 mas2 yg hampir nabrak pun cuma melihat saja, tapi beberapa staf sangat ramah dan santuy.."
K.P. Laksono,5/5,5 tahun lalu di,"Hotel dengan harga yang terjangkau dengan pelayanan yang memuaskan. Berlokasi di jalan Jogokariyan, tidak terlalu jauh berbagai tempat yang menarik di kota Yogyakarta. Terlebih dengan posisinya yang berdekatan dengan Pom Bensin, anda tidak …"
Juhariyah,3/5,setahun lalu di,"Kecewa pesan yg dihidangkan dingin baik minuman dan makanany, apa krna datangy mlm mgkin. Hrs nya tdk merubah rasa dan sajiany kan sdh langganan.
Pelayanan kurang ramah efek datar...."
Abdul Majid,5/5,5 hari lalu di,Rapi wangi bersih
Debbi Putri,4/5,4 tahun lalu di,"Nyaman... Cuma menurut saya penerangan saat malam di lorong depan kamar kurang terang, & gak ada handuk kecil untuk wastafel.. sisa nya oke"
Iwan BS Aka Jaketijo,5/5,2 tahun lalu di,"Lagi high season, lumayan bagus bersih proses cek in dan cek out cepet.. restoran dan breakfast belum coba karena  keluar lebih cepet ada keperluan mendadak overall baguslah"
shela ajeng prahasti,3/5,2 tahun lalu di,"Ruangan tidak kedap suara ya,,jd klo diluar berisik jd keganggu,,abis berenang g ada handuk g tau emg harus minta petugas / gmn"
Wicax Terry,4/5,2 tahun lalu di,"Untuk harga + ada kolam renangnya sangat recomend terutama yg bawa anak2
Kekurangan hanya sarapan pagi dari rasa dan pilihan menu"
Abdul Rahmat,5/5,3 tahun lalu di,"Saya hanya berkunjung  menemui saudara yang menginap di hotel ini. Secara umum baik, lokasinya di tengah kota, hotelnya bersih, pelayanannya ramah, keamanannya terjaga, cocok untuk anak2."
Luci Anah,2/5,setahun lalu di,"Kamar nya kotor, AC gak dingin dan berisik juga sempat bocor."
emi wijiyanti,4/5,3 tahun lalu di,"Saya booking via traveloka satu kamar untuk dua orang. Namun bbrp fasilitas hanya tersedia untuk satu orang, misal: handuk, sandal, gelas, dan air mineral. Tidak ada teko dan minuman sachet."
